Longitude,Latitude,Carbon(C),Water(W),Food(F),Social(P)
-80,-5,0.399138,0.146702,0.262455,0.210203
-80,0,0.375648,0.132991,0.238216,0.166493
-80,5,0.309385,0.130655,0.204537,0.157777
-80,10,0.250166,0.129761,0.173919,0.148569
-80,15,0.159332,0.129058,0.124993,0.122276
-80,20,0.164585,0.129892,0.135084,0.143125
-80,25,0.177980,0.131030,0.149694,0.169495
-80,30,0.208318,0.128275,0.168914,0.198384
-80,35,0.387023,0.124133,0.260887,0.274994
-80,40,0.457410,0.121224,0.310382,0.348057
-80,45,0.425494,0.121013,0.287893,0.267394
-80,50,0.415869,0.141691,0.301748,0.183644
-80,55,0.260351,0.144130,0.222927,0.190503
-80,60,0.143692,0.134867,0.128135,0.157220
-80,65,0.137824,0.137376,0.127838,0.142009
-80,70,0.157905,0.172859,0.166164,0.126182
-80,75,0.195909,0.248162,0.241881,0.111230
-75,-50,0.258680,0.144014,0.214498,0.203012
-75,-45,0.297207,0.147662,0.237452,0.192984
-75,-15,0.337152,0.187987,0.268724,0.285125
-75,-10,0.599910,0.158573,0.373468,0.316685
-75,-5,0.767939,0.142766,0.434639,0.194905
-75,0,0.716570,0.134402,0.406657,0.215668
-75,5,0.553377,0.130508,0.336140,0.297709
-75,10,0.333302,0.129315,0.224826,0.240128
-75,15,0.172385,0.128692,0.135818,0.158919
-75,20,0.167832,0.128922,0.135410,0.155808
-75,40,0.361298,0.124541,0.243154,0.228051
-75,45,0.465141,0.121883,0.294581,0.222587
-75,50,0.432004,0.124868,0.280301,0.223000
-75,55,0.298467,0.124260,0.213967,0.278014
-75,60,0.178211,0.123552,0.146284,0.234035
-75,65,0.145072,0.128456,0.128444,0.161677
-75,70,0.140243,0.137386,0.131075,0.137374
-75,75,0.142609,0.167669,0.151471,0.111859
-70,-55,0.192169,0.134974,0.160697,0.173723
-70,-50,0.324626,0.160150,0.283081,0.279040
-70,-45,0.411939,0.183204,0.366165,0.323695
-70,-40,0.392290,0.180527,0.347184,0.351910
-70,-35,0.313188,0.189452,0.303511,0.364209
-70,-30,0.303899,0.255401,0.335854,0.306374
-70,-25,0.325683,0.346621,0.397037,0.221671
-70,-20,0.369793,0.338211,0.410954,0.281430
-70,-15,0.568348,0.215372,0.415632,0.375854
-70,-10,0.796988,0.139790,0.450094,0.249874
-70,-5,0.877290,0.139324,0.475228,0.114525
-70,0,0.846126,0.137809,0.464844,0.179611
-70,5,0.694685,0.130987,0.412114,0.419564
-70,10,0.395325,0.127699,0.265602,0.386865
-70,15,0.192402,0.128367,0.147379,0.174245
-70,45,0.372424,0.123561,0.237059,0.167207
-70,50,0.472231,0.123187,0.292015,0.217984
-70,55,0.396505,0.122168,0.257918,0.300385
-70,60,0.220013,0.122114,0.167708,0.249731
-70,65,0.143562,0.122624,0.126185,0.148512
-70,70,0.133563,0.127024,0.119626,0.131285
-70,75,0.132966,0.154909,0.134618,0.109785
-65,-40,0.251317,0.157508,0.268527,0.428025
-65,-35,0.271591,0.162125,0.311087,0.547268
-65,-30,0.375904,0.221475,0.394841,0.478988
-65,-25,0.497114,0.315046,0.487415,0.355745
-65,-20,0.561952,0.289209,0.484101,0.356527
-65,-15,0.636258,0.173912,0.426821,0.348486
-65,-10,0.765003,0.136043,0.438227,0.221090
-65,-5,0.845746,0.139182,0.464358,0.137844
-65,0,0.847575,0.140494,0.467693,0.153781
-65,5,0.730522,0.134524,0.424269,0.343136
-65,10,0.396800,0.129959,0.259069,0.316613
-65,15,0.154259,0.129338,0.123611,0.123672
-65,45,0.227026,0.126646,0.159635,0.134913
-65,50,0.423360,0.126188,0.263820,0.187740
-65,55,0.410933,0.128141,0.265324,0.264743
-65,60,0.207137,0.128599,0.159625,0.217791
-65,65,0.128472,0.124359,0.113753,0.140949
-60,-35,0.258279,0.117759,0.271987,0.575587
-60,-30,0.380182,0.125525,0.330966,0.580489
-60,-25,0.482719,0.127001,0.350757,0.438456
-60,-20,0.551204,0.127266,0.374266,0.367635
-60,-15,0.580628,0.129471,0.384758,0.340185
-60,-10,0.706187,0.131074,0.418200,0.258156
-60,-5,0.825064,0.138758,0.457262,0.168155
-60,0,0.835236,0.140061,0.461680,0.169361
-60,5,0.674517,0.136280,0.385202,0.197290
-60,10,0.322093,0.132324,0.210856,0.158750
-60,50,0.309779,0.129474,0.210200,0.167755
-60,55,0.295607,0.130790,0.204944,0.191973
-55,-30,0.411204,0.125516,0.314246,0.513492
-55,-25,0.459031,0.121223,0.350682,0.486023
-55,-20,0.438322,0.120844,0.353680,0.484410
-55,-15,0.475644,0.122910,0.353284,0.427959
-55,-10,0.656641,0.127370,0.399057,0.318614
-55,-5,0.800181,0.137051,0.448262,0.230431
-55,0,0.802373,0.139661,0.446960,0.186220
-55,5,0.536061,0.135681,0.311191,0.138728
-55,75,0.111353,0.110709,0.106451,0.119576
-50,-25,0.397960,0.120907,0.307918,0.398772
-50,-20,0.374988,0.113966,0.328495,0.541793
-50,-15,0.370486,0.113847,0.304368,0.512473
-50,-10,0.499444,0.119983,0.330975,0.453377
-50,-5,0.638964,0.130869,0.384750,0.399255
-50,0,0.553765,0.136649,0.334244,0.251785
-50,65,0.151026,0.115979,0.131172,0.230582
-50,70,0.137890,0.109706,0.125229,0.194274
-50,75,0.106036,0.103339,0.104713,0.112432
-45,-20,0.386240,0.118296,0.298838,0.467001
-45,-15,0.352008,0.112251,0.280242,0.535734
-45,-10,0.340760,0.111819,0.255452,0.532204
-45,-5,0.410235,0.123566,0.278800,0.461321
-45,65,0.115395,0.106674,0.109737,0.143001
-45,70,0.100675,0.100124,0.100447,0.101575
-45,75,0.100000,0.100000,0.100000,0.100002
-40,-15,0.291781,0.119938,0.221093,0.385314
-40,-10,0.276953,0.113799,0.221901,0.494299
-40,-5,0.253237,0.120023,0.199097,0.401413
-40,70,0.101847,0.101973,0.101225,0.102853
-40,75,0.100007,0.100013,0.100013,0.100000
-35,70,0.104796,0.107694,0.103170,0.102992
-35,75,0.100031,0.100053,0.100053,0.100005
-30,70,0.113080,0.120351,0.112147,0.121664
-30,75,0.105750,0.106069,0.106953,0.121164
-25,70,0.131276,0.131203,0.125001,0.166824
-25,75,0.119778,0.117657,0.119041,0.172146
-20,15,0.154888,0.151351,0.149293,0.186213
-20,65,0.158971,0.156422,0.151091,0.177309
-20,70,0.143944,0.141420,0.133017,0.171341
-20,75,0.122068,0.126523,0.114203,0.158352
-15,10,0.230171,0.124797,0.191014,0.294747
-15,15,0.311103,0.246215,0.333469,0.453461
-15,20,0.388232,0.490104,0.517785,0.269726
-15,25,0.318025,0.471516,0.456868,0.110468
-15,30,0.177085,0.232167,0.208825,0.108407
-15,65,0.145692,0.153833,0.139442,0.144896
-10,10,0.395916,0.118996,0.283037,0.429627
-10,15,0.436280,0.351024,0.489354,0.617782
-10,20,0.556096,0.746065,0.794290,0.317673
-10,25,0.515638,0.807713,0.804880,0.111719
-10,30,0.343744,0.462856,0.476040,0.206218
-5,5,0.300307,0.123613,0.213337,0.219424
-5,10,0.419937,0.117977,0.308372,0.568969
-5,15,0.456218,0.390574,0.517225,0.617033
-5,20,0.559732,0.784009,0.820665,0.265815
-5,25,0.568072,0.900000,0.899155,0.106540
-5,30,0.501543,0.710934,0.742311,0.240483
-5,35,0.329115,0.323828,0.400844,0.390625
-5,40,0.238272,0.119001,0.211781,0.382361
-5,45,0.204163,0.121251,0.179524,0.291420
-5,50,0.183133,0.123571,0.185825,0.326667
-5,55,0.198893,0.127532,0.194369,0.320837
-5,60,0.150626,0.131353,0.133514,0.164519
0,5,0.216641,0.121848,0.182782,0.274626
0,10,0.359211,0.137656,0.303623,0.636758
0,15,0.474772,0.408721,0.538230,0.633070
0,20,0.559374,0.775068,0.814771,0.278690
0,25,0.568932,0.894572,0.896915,0.111542
0,30,0.559489,0.848082,0.863591,0.156092
0,35,0.383580,0.473309,0.522705,0.290845
0,40,0.245434,0.131602,0.219745,0.373157
0,45,0.279139,0.117094,0.242097,0.414984
0,50,0.243214,0.118833,0.232111,0.421869
0,55,0.181135,0.126071,0.173515,0.281530
0,60,0.138115,0.130419,0.122902,0.142999
5,5,0.249210,0.123784,0.196909,0.281818
5,10,0.359086,0.140117,0.310615,0.615754
5,15,0.473493,0.404759,0.551145,0.602809
5,20,0.565037,0.767705,0.817653,0.269225
5,25,0.568810,0.892221,0.895373,0.114604
5,30,0.566646,0.874737,0.884533,0.128779
5,35,0.393688,0.509943,0.545340,0.232144
5,40,0.239705,0.143303,0.207533,0.293409
5,45,0.322823,0.120129,0.262106,0.387479
5,50,0.307721,0.119255,0.267814,0.422696
5,55,0.198325,0.125940,0.176246,0.249442
5,60,0.190744,0.140158,0.164793,0.149642
10,0,0.483981,0.132997,0.286368,0.161170
10,5,0.481038,0.125678,0.310290,0.308109
10,10,0.405368,0.132191,0.337434,0.638801
10,15,0.484068,0.456948,0.600223,0.513255
10,20,0.571409,0.833108,0.864652,0.169044
10,25,0.568456,0.899171,0.899070,0.107872
10,30,0.523127,0.802745,0.808777,0.129431
10,35,0.334557,0.427545,0.451561,0.214610
10,40,0.218242,0.135396,0.187002,0.266387
10,45,0.321048,0.123445,0.255888,0.345641
10,50,0.342389,0.119542,0.289329,0.418972
10,55,0.265062,0.121593,0.224618,0.309271
10,60,0.301019,0.142504,0.241327,0.204827
15,-25,0.273254,0.236644,0.290804,0.359141
15,-20,0.280366,0.209688,0.275063,0.466184
15,-15,0.332772,0.161754,0.264131,0.415245
15,-10,0.361185,0.124484,0.240291,0.317268
15,-5,0.465331,0.124917,0.286523,0.295608
15,0,0.675909,0.133218,0.389369,0.212342
15,5,0.623308,0.126945,0.371319,0.275453
15,10,0.454707,0.135573,0.345447,0.626770
15,15,0.506066,0.513481,0.636843,0.475152
15,20,0.571918,0.887139,0.896747,0.106934
15,25,0.568836,0.897345,0.898616,0.107576
15,30,0.433151,0.652849,0.652454,0.122091
15,35,0.221281,0.272021,0.269563,0.152126
15,40,0.220164,0.126973,0.178404,0.247553
15,45,0.343154,0.120325,0.273163,0.382815
15,50,0.341910,0.115741,0.296267,0.424112
15,55,0.257835,0.118082,0.221012,0.298808
15,60,0.289875,0.129481,0.215650,0.182282
15,65,0.323541,0.148969,0.253325,0.174116
20,-30,0.299237,0.200085,0.304408,0.446292
20,-25,0.286375,0.203232,0.294444,0.605603
20,-20,0.276924,0.140558,0.234423,0.601263
20,-15,0.435696,0.123361,0.292468,0.464731
20,-10,0.493095,0.119803,0.307878,0.385845
20,-5,0.539894,0.124231,0.323299,0.302303
20,0,0.690505,0.134334,0.397270,0.186216
20,5,0.644560,0.128309,0.370851,0.210556
20,10,0.492664,0.126530,0.332297,0.599160
20,15,0.498859,0.474162,0.598221,0.545630
