Longitude,Latitude,Carbon(C),Water(W),Food(F),Social(P)
95,45,0.545206,0.633297,0.718902,0.399440
95,50,0.565184,0.281918,0.481683,0.516333
95,55,0.631608,0.127538,0.378971,0.294571
95,60,0.733912,0.126243,0.409516,0.162306
95,65,0.687453,0.169606,0.422799,0.234059
95,70,0.494547,0.188231,0.365862,0.496357
95,75,0.300536,0.168624,0.251015,0.436227
100,0,0.326691,0.129187,0.313164,0.419445
100,5,0.286494,0.129466,0.268276,0.346635
100,10,0.271592,0.129690,0.204410,0.195980
100,15,0.426206,0.125970,0.292709,0.290943
100,20,0.589822,0.124395,0.370548,0.327981
100,25,0.625488,0.128645,0.383446,0.347750
100,30,0.564612,0.126650,0.371067,0.667152
100,35,0.515211,0.242848,0.443428,0.848258
100,40,0.531218,0.612984,0.696590,0.455363
100,45,0.541769,0.574214,0.679330,0.438850
100,50,0.579455,0.204807,0.431509,0.537923
100,55,0.653078,0.123120,0.377344,0.249798
100,60,0.783228,0.126635,0.430044,0.149764
100,65,0.781427,0.148316,0.447832,0.203231
100,70,0.554843,0.159863,0.368233,0.434276
100,75,0.331486,0.181128,0.275188,0.422453
105,-5,0.255977,0.129309,0.218369,0.257775
105,0,0.296283,0.129060,0.293798,0.410413
105,5,0.219993,0.129115,0.216087,0.290700
105,10,0.310507,0.128944,0.219808,0.198679
105,15,0.450847,0.126525,0.302844,0.268434
105,20,0.556812,0.126875,0.351302,0.278428
105,25,0.638464,0.126949,0.393063,0.324473
105,30,0.613134,0.123993,0.392528,0.460400
105,35,0.544962,0.230936,0.446913,0.627119
105,40,0.516273,0.580940,0.672045,0.441793
105,45,0.543950,0.545661,0.665843,0.389187
105,50,0.566002,0.195188,0.422426,0.448250
105,55,0.647356,0.123915,0.374572,0.217243
105,60,0.819241,0.128031,0.446276,0.137282
105,65,0.863448,0.132170,0.471688,0.174320
105,70,0.599480,0.144697,0.376294,0.433778
105,75,0.312555,0.193265,0.274948,0.426939
110,-10,0.168441,0.128718,0.131913,0.138829
110,-5,0.284141,0.128992,0.226569,0.255233
110,0,0.349367,0.130553,0.277677,0.286558
110,5,0.238412,0.130342,0.185789,0.173497
110,10,0.217872,0.129197,0.158186,0.137918
110,15,0.289003,0.129161,0.196860,0.154927
110,20,0.420316,0.130055,0.270912,0.191459
110,25,0.639688,0.130047,0.391350,0.252844
110,30,0.645309,0.126060,0.409813,0.320656
110,35,0.526760,0.161196,0.397412,0.555841
110,40,0.500924,0.415818,0.566080,0.538111
110,45,0.560052,0.457291,0.642450,0.408997
110,50,0.579656,0.201374,0.455187,0.422626
110,55,0.628099,0.128113,0.373952,0.265190
110,60,0.801008,0.132728,0.441182,0.147707
110,65,0.881589,0.130133,0.478604,0.171315
110,70,0.636665,0.137575,0.387306,0.432976
110,75,0.307305,0.171665,0.252864,0.414305
115,-30,0.259761,0.157516,0.238677,0.406598
115,-25,0.294834,0.179282,0.265888,0.526848
115,-10,0.155680,0.128908,0.124830,0.136907
115,-5,0.312051,0.129499,0.241682,0.259924
115,0,0.485014,0.132276,0.356685,0.323393
115,5,0.356135,0.132056,0.265390,0.234095
115,10,0.144305,0.129787,0.127409,0.134630
115,15,0.124131,0.129453,0.105819,0.103006
115,20,0.260154,0.129963,0.179658,0.139794
115,25,0.558843,0.131246,0.339118,0.207306
115,30,0.609920,0.126406,0.390346,0.307156
115,35,0.425592,0.118741,0.330675,0.513692
115,40,0.444625,0.219595,0.425349,0.618599
115,45,0.564022,0.279727,0.550889,0.570693
115,50,0.617582,0.179039,0.473569,0.509213
115,55,0.641353,0.129312,0.381639,0.330262
115,60,0.764938,0.133071,0.425388,0.169105
115,65,0.900000,0.129035,0.484677,0.156042
115,70,0.697070,0.129083,0.403415,0.363913
120,-30,0.397519,0.182459,0.350085,0.686530
120,-25,0.462175,0.246796,0.423041,0.872283
120,-20,0.329077,0.204864,0.296750,0.523577
120,-15,0.157539,0.140681,0.135292,0.153854
120,-10,0.154397,0.129486,0.123259,0.126360
120,-5,0.263782,0.130238,0.190617,0.177429
120,0,0.351992,0.131783,0.246275,0.200408
120,5,0.297142,0.131441,0.219078,0.192843
120,10,0.217011,0.130124,0.167701,0.164807
120,15,0.198534,0.129681,0.146842,0.134564
120,20,0.209548,0.129663,0.150880,0.130319
120,25,0.351600,0.130500,0.224153,0.153149
120,30,0.400235,0.127800,0.263733,0.220751
120,35,0.266828,0.122360,0.222434,0.325931
120,40,0.337941,0.130985,0.295075,0.530673
120,45,0.498483,0.152455,0.412011,0.630677
120,50,0.626090,0.143572,0.427728,0.466402
120,55,0.714285,0.126099,0.405192,0.264228
120,60,0.782371,0.132077,0.433227,0.172659
120,65,0.878872,0.135170,0.480812,0.153619
120,70,0.661628,0.132871,0.385312,0.297790
125,-30,0.407245,0.252472,0.382400,0.646734
125,-25,0.506837,0.315428,0.490417,0.880818
125,-20,0.416989,0.277509,0.399725,0.621779
125,-15,0.228624,0.149447,0.187211,0.291357
125,-10,0.159130,0.129465,0.125866,0.131541
125,-5,0.217561,0.130131,0.155315,0.131861
125,0,0.219185,0.130388,0.154847,0.121637
125,5,0.203143,0.130001,0.147385,0.123294
125,10,0.218361,0.129952,0.157048,0.137276
125,15,0.200037,0.129704,0.147502,0.134190
125,20,0.172164,0.129512,0.131725,0.120461
125,25,0.159055,0.129416,0.123857,0.113196
125,30,0.158770,0.128650,0.126612,0.140153
125,35,0.202029,0.126474,0.154516,0.194328
125,40,0.352735,0.122635,0.258874,0.358595
125,45,0.462303,0.119758,0.338332,0.488327
125,50,0.558739,0.120615,0.361046,0.391531
125,55,0.692732,0.123180,0.393922,0.247264
125,60,0.776194,0.135457,0.436454,0.191933
125,65,0.765075,0.186178,0.472651,0.197288
125,70,0.521268,0.187436,0.361234,0.289769
130,-30,0.400109,0.276461,0.391355,0.631229
130,-25,0.490568,0.293579,0.465764,0.886429
130,-20,0.419978,0.251135,0.383651,0.660483
130,-15,0.328286,0.150856,0.241920,0.357880
130,-10,0.217809,0.130648,0.156898,0.146633
130,-5,0.218897,0.131444,0.155084,0.115732
130,35,0.201053,0.126143,0.148749,0.149744
130,40,0.321958,0.124167,0.220350,0.218846
130,45,0.457500,0.122562,0.310397,0.322045
130,50,0.562371,0.123582,0.356311,0.333088
130,55,0.676978,0.130024,0.391325,0.251266
130,60,0.759241,0.146226,0.440379,0.220070
130,65,0.712194,0.192455,0.458419,0.275690
130,70,0.443221,0.189553,0.327130,0.326056
135,-30,0.431812,0.394393,0.497582,0.517411
135,-25,0.489881,0.457538,0.571528,0.603069
135,-20,0.404362,0.291951,0.398156,0.518914
135,-15,0.330511,0.165282,0.249043,0.288204
135,-10,0.254930,0.132017,0.176388,0.142074
135,-5,0.330971,0.133950,0.212035,0.119950
135,35,0.181430,0.126205,0.135313,0.115466
135,40,0.210200,0.126945,0.150550,0.130269
135,45,0.381092,0.127943,0.248478,0.206146
135,50,0.587560,0.128563,0.352514,0.231566
135,55,0.645102,0.135518,0.375526,0.203018
135,60,0.678184,0.161470,0.412727,0.242010
135,65,0.689410,0.184350,0.445318,0.341346
135,70,0.446537,0.162259,0.309896,0.361842
140,-35,0.297667,0.209375,0.306275,0.425153
140,-30,0.467101,0.509086,0.598600,0.410430
140,-25,0.485349,0.602846,0.661744,0.337832
140,-20,0.423025,0.336274,0.431479,0.393780
140,-15,0.319995,0.159838,0.236883,0.250278
140,-10,0.349679,0.133072,0.223137,0.140345
140,-5,0.461363,0.134928,0.275402,0.125885
140,40,0.225025,0.126800,0.156845,0.119861
140,45,0.288023,0.127903,0.191229,0.137827
140,50,0.396582,0.127982,0.247645,0.166787
140,55,0.412954,0.132091,0.257588,0.174768
140,60,0.505189,0.188352,0.349935,0.236106
140,65,0.614759,0.239310,0.456618,0.373653
140,70,0.431201,0.185764,0.328548,0.449961
140,75,0.191693,0.143233,0.163107,0.299838
145,-40,0.270180,0.125774,0.207985,0.232202
145,-35,0.371880,0.163588,0.323126,0.472367
145,-30,0.439459,0.292938,0.444552,0.583267
145,-25,0.460141,0.331068,0.462208,0.527792
145,-20,0.402801,0.212536,0.326812,0.377364
145,-15,0.281626,0.136804,0.196122,0.195085
145,-10,0.380829,0.132857,0.236072,0.130962
145,-5,0.409170,0.133221,0.247303,0.118897
145,45,0.182597,0.128225,0.136540,0.117508
145,50,0.180502,0.128596,0.134961,0.120284
145,55,0.200915,0.130831,0.147589,0.128396
145,60,0.398360,0.193543,0.302956,0.225699
145,65,0.587214,0.231862,0.438713,0.383771
145,70,0.409738,0.169585,0.306258,0.468294
145,75,0.187508,0.141303,0.160975,0.315120
150,-35,0.318804,0.125284,0.237074,0.290665
150,-30,0.391545,0.126636,0.287600,0.474552
150,-25,0.379197,0.129724,0.266179,0.453168
150,-10,0.220412,0.130699,0.154274,0.108379
150,-5,0.228145,0.130720,0.157907,0.109586
150,50,0.115203,0.129424,0.101107,0.100730
150,55,0.143348,0.130566,0.117468,0.116086
150,60,0.394819,0.173464,0.282359,0.220219
150,65,0.588677,0.183759,0.398081,0.367250
150,70,0.375467,0.140178,0.260396,0.383218
150,75,0.152029,0.128726,0.128048,0.226943
155,-10,0.145365,0.129788,0.117115,0.107704
155,55,0.237509,0.134174,0.169902,0.158701
155,60,0.398069,0.171892,0.284589,0.232343
155,65,0.565921,0.170765,0.377771,0.347544
155,70,0.376078,0.129955,0.250534,0.332934
155,75,0.137659,0.129350,0.117881,0.178428
160,-10,0.135191,0.129634,0.111081,0.105328
160,55,0.281453,0.139950,0.198026,0.180067
160,60,0.385125,0.169347,0.286897,0.306017
160,65,0.530117,0.175774,0.372370,0.404658
160,70,0.379521,0.142779,0.258743,0.295132
165,55,0.174503,0.136166,0.138359,0.131258
165,60,0.339613,0.152357,0.254916,0.347922
165,65,0.507105,0.182390,0.379897,0.532978
165,70,0.336923,0.165584,0.260241,0.314595
170,-45,0.188689,0.130917,0.150605,0.192960
170,55,0.114579,0.129729,0.101140,0.102165
170,60,0.275197,0.140464,0.209041,0.317283
170,65,0.455946,0.176600,0.354777,0.607725
170,70,0.294694,0.165685,0.246347,0.391839
175,-40,0.205631,0.130110,0.163295,0.196050
175,-35,0.159393,0.128795,0.131988,0.143624
175,65,0.368669,0.174920,0.301407,0.556742
175,70,0.267669,0.167502,0.231472,0.405057
